reseña_id,producto_id,nombre_producto,plataforma,rating,comentario,fecha_review,url,marca,tipo_formato
1580333227,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Ex lentes audífonos, coincido que si están algo elevados de precio, pero por cuestión calidad y que son de apple, valen cada centavo y 100% originales, compré los nuevos midnight y el color está hermoso.",Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear
1571720343,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"No se ocupa hablar mucho en temas de calidad de los materiales, es apple. Aunado la cancelación de sonido es la mejor que he probado. En calidad de audio los pondría en segundo lugar después de los sony. Pero si al igual que yo cuentas con un ecosistema de apple (iphone, mac y ipad). El plus de usarlos en los tres dispositivos sin necesidad de emparejarlos y desemparejarlos es genial. El precio es elevado, pero si estás acostumbrado a los productos de apple ya sabes cómo se manejan.",Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear
2863420961,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Aislamiento: cancelación de ruido perfecta. Literal no se escucha nada. Comodidad: pesados pero cómodos. Si quieres una buena calidad de audio, no todo se lo dejes a los audífonos. Es importante y necesario considerar 3 cosas: los audífonos, la plataforma de música que se va a usar y el dispositivo al que se va a conectar. He visto gente que se compra por ejemplo los sony wh-1000xm6 pero terminan usando spotify y es así como de “bro…, es en serio?”. A que voy con mi introducción? a que estos audífonos son brutales. Los puedes usar con cualquier dispositivo y usando cualquier app de música y vas a ir sobrado. Son excelentes en cuanto a cancelación de ruido y calidad de audio. Y sip, podrían haber mejores alternativas en el mercado. Pero la realidad es que estos audífonos están pensados para escucharse con apple music y desde un dispositivo de apple. Si haces eso, les vas a sacar el máximo partido, liberan todo su potencial oculto por decirlo así. Mi experiencia ha sido brutal, haciendo lo anterior, tengo una calidad de audio que no he escuchado antes, tenía los sony wh-1000xm5 pero estos airpods max cancelan mejor. Por ahí leí que alguien dijo que estos audífonos son de plástico y claramente no es así. Son de aluminio con acero y a pesar de que son pesados, el diseño hace que no se sienta y puedas usarlos por mucho tiempo. Muy satisfecho con la compra. Apple la rompió con estos audífonos.",Hace 3 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear
2838657732,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Aislamiento: la cancelación de ruido es perfecta. Comodidad: se acomodan muy bien a la oreja y son muy comodos. Los airpods max 2 son tu mejor opción si buscas mejor cancelación de ruido y la calidad de audio es demasiado buena.,Hace 3 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear
2824442219,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Tan hermosamente naranjas y llamativos: físicamente y en sonido.,Hace 3 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear
1505668047,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Excellent producto.,Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear
2835996143,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Excelente!!! producto de lujo con calidad de audio excepcional✨.,Hace 3 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear
2448157139,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Los audífonos se sienten bastante premium, son cómodos por varias horas pero como son un poco pesados eventualmente cansan un poco, en cuanto a calidad de sonido son muy buenos, tienen un perfil de sonido en v que agradará al público en general, su sonido resalta más los bajos que los airpods pro 2, que tienen un perfil un poco más equilibrado. En lo personal me gusta mas el perfil de sonido de los app2, hace que parezca mas detallado, aunque los apm tienen un sonido mas amplio, más envolvente y más separado; el gran pero de estos audífonos es su precio, para ser unos audífonos inalámbricos con nc suenan excelente, pero unos audífonos alámbricos por el 1/3 de su precio pueden igualarlos en calidad, tengo unos philips fidelio x2 que conectados ofrecen una calidad de audio similar, aunque claro, sin la conexión bt y el nc. Si son para uso en calle o transporte, yo recomiendo los airpods pro 2 puesto que son ligeros, versátiles, discretos y en calidad de audio no piden demasiado a los max, si son para uso principal en casa u oficina, pudieran ser estos airpods max, si son para uso exclusivo en casa y la prioridad es solo la calidad de audio, compren unos audífonos open-back.",Hace 9 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear
1527122548,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Sonido increíble.,Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear
1905394093,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,,Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear
